Month,Hour,Zone_CAPITL,Zone_CENTRL,Zone_DUNWOD,Zone_GENESE,Zone_HUD VL,Zone_LONGIL,Zone_MHK VL,Zone_MILLWD,Zone_N.Y.C.,Zone_NORTH,Zone_WEST,RTD Actual Load
2,2,False,False,False,False,False,False,False,False,False,True,False,711.5611643274854
2,2,False,False,False,False,False,False,False,False,True,False,False,4418.37770877193
2,2,False,False,False,False,False,False,False,True,False,False,False,273.73667953216375
2,2,False,False,False,False,False,False,True,False,False,False,False,822.615181871345
2,2,False,False,False,False,False,True,False,False,False,False,False,1764.008449122807
2,2,False,False,False,False,True,False,False,False,False,False,False,957.1504333333332
2,2,False,False,False,True,False,False,False,False,False,False,False,977.4158008771931
2,2,False,False,True,False,False,False,False,False,False,False,False,526.7380529239766
2,2,False,True,False,False,False,False,False,False,False,False,False,1642.0866903508772
2,2,True,False,False,False,False,False,False,False,False,False,False,1201.9455944444444
2,3,False,False,False,False,False,False,False,False,False,False,True,1530.51985147929
2,3,False,False,False,False,False,False,False,False,False,True,False,714.0315295857988
2,3,False,False,False,False,False,False,False,False,True,False,False,4360.327652366864
2,3,False,False,False,False,False,False,False,True,False,False,False,272.0333186390533
2,3,False,False,False,False,False,False,True,False,False,False,False,822.3768609467456
2,3,False,False,False,False,False,True,False,False,False,False,False,1747.3095121301776
2,3,False,False,False,False,True,False,False,False,False,False,False,956.2473541420119
2,3,False,False,False,True,False,False,False,False,False,False,False,976.1966162721894
2,3,False,False,True,False,False,False,False,False,False,False,False,520.7733647928994
2,3,False,True,False,False,False,False,False,False,False,False,False,1646.7662869822486
2,3,True,False,False,False,False,False,False,False,False,False,False,1202.5391443786982
2,4,False,False,False,False,False,False,False,False,False,False,True,1543.629174269006
2,4,False,False,False,False,False,False,False,False,False,True,False,715.1718412280702
2,4,False,False,False,False,False,False,False,False,True,False,False,4363.497632163743
2,4,False,False,False,False,False,False,False,True,False,False,False,277.85309824561404
2,4,False,False,False,False,False,False,True,False,False,False,False,834.9455859649122
2,4,False,False,False,False,False,True,False,False,False,False,False,1769.1781190058477
2,4,False,False,False,False,True,False,False,False,False,False,False,966.4896997076024
2,4,False,False,False,True,False,False,False,False,False,False,False,989.9446102339182
2,4,False,False,True,False,False,False,False,False,False,False,False,523.7193114035088
2,4,False,True,False,False,False,False,False,False,False,False,False,1670.7038830409356
2,4,True,False,False,False,False,False,False,False,False,False,False,1217.4691967836256
2,5,False,False,False,False,False,False,False,False,False,False,True,1588.8025198275864
2,5,False,False,False,False,False,False,False,False,False,True,False,722.4712270114942
2,5,False,False,False,False,False,False,False,False,True,False,False,4519.563175862069
2,5,False,False,False,False,False,False,False,True,False,False,False,289.73319597701146
2,5,False,False,False,False,False,False,True,False,False,False,False,876.9730114942529
2,5,False,False,False,False,False,True,False,False,False,False,False,1852.319775862069
2,5,False,False,False,False,True,False,False,False,False,False,False,1004.8681206896551
2,5,False,False,False,True,False,False,False,False,False,False,False,1035.834264367816
2,5,False,False,True,False,False,False,False,False,False,False,False,543.8473583333333
2,5,False,True,False,False,False,False,False,False,False,False,False,1744.939320689655
2,5,True,False,False,False,False,False,False,False,False,False,False,1268.856283908046
2,6,False,False,False,False,False,False,False,False,False,False,True,1676.7910552407934
2,6,False,False,False,False,False,False,False,False,False,True,False,740.212131161473
2,6,False,False,False,False,False,False,False,False,True,False,False,4871.109676487252
2,6,False,False,False,False,False,False,False,True,False,False,False,315.181642776204
2,6,False,False,False,False,False,False,True,False,False,False,False,956.9071246458924
2,6,False,False,False,False,False,True,False,False,False,False,False,1996.6565005665723
2,6,False,False,False,False,True,False,False,False,False,False,False,1078.2981133144476
2,6,False,False,False,True,False,False,False,False,False,False,False,1113.0599104815865
2,6,False,False,True,False,False,False,False,False,False,False,False,587.8342277620396
2,6,False,True,False,False,False,False,False,False,False,False,False,1880.9073107648726
2,6,True,False,False,False,False,False,False,False,False,False,False,1362.0824869688386
2,7,False,False,False,False,False,False,False,False,False,False,True,1744.527438505747
2,7,False,False,False,False,False,False,False,False,False,True,False,754.9495583333334
2,7,False,False,False,False,False,False,False,False,True,False,False,5223.056787643678
2,7,False,False,False,False,False,False,False,True,False,False,False,330.82725804597703
2,7,False,False,False,False,False,False,True,False,False,False,False,997.0274132183907
2,7,False,False,False,False,False,True,False,False,False,False,False,2089.662615229885
2,7,False,False,False,False,True,False,False,False,False,False,False,1115.8143942528736
2,7,False,False,False,True,False,False,False,False,False,False,False,1169.2900890804597
2,7,False,False,True,False,False,False,False,False,False,False,False,622.9628540229885
2,7,False,True,False,False,False,False,False,False,False,False,False,1959.8623718390804
2,7,True,False,False,False,False,False,False,False,False,False,False,1420.957326724138
2,8,False,False,False,False,False,False,False,False,False,False,True,1772.3914997206703
2,8,False,False,False,False,False,False,False,False,False,True,False,755.5116354748603
2,8,False,False,False,False,False,False,False,False,True,False,False,5490.541601675977
2,8,False,False,False,False,False,False,False,True,False,False,False,333.34386089385475
2,8,False,False,False,False,False,False,True,False,False,False,False,989.0541083798882
2,8,False,False,False,False,False,True,False,False,False,False,False,2098.4862541899442
2,8,False,False,False,False,True,False,False,False,False,False,False,1099.9655298882683
2,8,False,False,False,True,False,False,False,False,False,False,False,1175.97262150838
2,8,False,False,True,False,False,False,False,False,False,False,False,636.5722740223463
2,8,False,True,False,False,False,False,False,False,False,False,False,1957.9903178770949
2,8,True,False,False,False,False,False,False,False,False,False,False,1415.2512198324023
2,9,False,False,False,False,False,False,False,False,False,False,True,1779.6126792613636
2,9,False,False,False,False,False,False,False,False,False,True,False,752.1025789772727
2,9,False,False,False,False,False,False,False,False,True,False,False,5639.5964593749995
2,9,False,False,False,False,False,False,False,True,False,False,False,326.68453892045454
2,9,False,False,False,False,False,False,True,False,False,False,False,969.1314738636364
2,9,False,False,False,False,False,True,False,False,False,False,False,2061.358661363636
2,9,False,False,False,False,True,False,False,False,False,False,False,1048.4211849431817
2,9,False,False,False,True,False,False,False,False,False,False,False,1148.509069318182
2,9,False,False,True,False,False,False,False,False,False,False,False,638.48783125
2,9,False,True,False,False,False,False,False,False,False,False,False,1920.328717897727
2,9,True,False,False,False,False,False,False,False,False,False,False,1384.4927948863638
2,10,False,False,False,False,False,False,False,False,False,False,True,1781.8039060273973
2,10,False,False,False,False,False,False,False,False,False,True,False,747.0406687671233
2,10,False,False,False,False,False,False,False,False,True,False,False,5716.022535342466
2,10,False,False,False,False,False,False,False,True,False,False,False,319.9925997260274
2,10,False,False,False,False,False,False,True,False,False,False,False,942.9499602739726
2,10,False,False,False,False,False,True,False,False,False,False,False,2017.5911183561645
2,10,False,False,False,False,True,False,False,False,False,False,False,1014.8294112328767
2,10,False,False,False,True,False,False,False,False,False,False,False,1133.3870975342465
2,10,False,False,True,False,False,False,False,False,False,False,False,638.3335736986302
2,10,False,True,False,False,False,False,False,False,False,False,False,1863.5398287671233
2,10,True,False,False,False,False,False,False,False,False,False,False,1355.2268238356164
2,11,False,False,False,False,False,False,False,False,False,False,True,1772.0415828571429
2,11,False,False,False,False,False,False,False,False,False,True,False,741.4441451428571
2,11,False,False,False,False,False,False,False,False,True,False,False,5756.313260857143
2,11,False,False,False,False,False,False,False,True,False,False,False,315.0053122857143
